Here is the list of all shaders from the April 13, 2026 (UTC+0200) release.

1: | Addition (Background)
178: | Ambient (Switch)
179: | Daytime (Switch)
180: | Temperature (Switch)
181: | Color Accent (Switch)
182: | Sepia (Switch)
183: | Duo Recolor Monochrome (Switch)
184: | Duo Recolor Monochrome Luminated (Switch)
185: | Duo Recolor Monochrome Tint-To-White (Switch)
186: | Recolor Monochrome (Switch)
187: | Recolor Monochrome Luminated (Switch)
188: | Recolor Monochrome Tint-To-White (Switch)
189: | Cut-Off Alpha Test (Texture)
190: | Premultiplied To Straight Alpha (Texture)
191: | Straight To Premultiplied Alpha (Texture)
192: | Bubble Content Mask (Texture)
193: | Bubble Mask (Texture)
194: | Chroma Key Color (Texture)
195: | Chroma Key Inverted (Texture)
196: | Inner Shadow (Texture)
197: | Outer Shadow (Texture)
198: | Texture Mask (Texture)
199: | CIELab (Switch)
200: | CMYK (Switch)
201: | HSI (Switch)
202: | HSL (Switch) [Legacy]
203: | HSL (Switch) [Rework]
204: | HSV (Switch)
205: | Conversion To CMYK (Switch)
206: | Conversion To ICtCp (Switch)
207: | Conversion To Y'CbCr (Switch)
208: | Conversion To Y'CoCg (Switch)
209: | Conversion To Y'DbDr (Switch)
210: | Conversion To Y'PbPr (Switch)
211: | Conversion To YIQ (Switch)
212: | Conversion To YUV (Switch)
213: | Correction With Hyperbolic Cosinus (Switch)
214: | Correction With Hyperbolic Sinus (Switch)
215: | Correction With Hyperbolic Tangent (Switch)
216: | Correction With Hyperbolic Cosecant (Switch)
217: | Correction With Hyperbolic Cotangent (Switch)
218: | Correction With Hyperbolic Secant (Switch)
219: | Correction With Floating Modulus (Switch)
220: | Correction With Power (Switch)
221: | Correction With Reciprocal Square Root (Switch)
222: | Correction With Square Root (Switch)
223: | Correction With Round (Switch)
224: | Correction With Arccosinus (Switch)
225: | Correction With Arcsinus (Switch)
226: | Correction With Arctangent (Switch)
227: | Correction With Cosinus (Switch)
228: | Correction With Sinus (Switch)
229: | Correction With Tangent (Switch)
230: | Correction With Cosecant (Switch)
231: | Correction With Cotangent (Switch)
232: | Correction With Secant (Switch)
233: | Aerochrome Film (Switch)
234: | Photographic Film Negative (Switch)
235: | Superholo (Switch)
236: | Invert Color Blue (Switch)
237: | Invert Color Cyan (Switch)
238: | Invert Color Green (Switch)
239: | Invert Color Magenta (Switch)
240: | Invert Color Red (Switch)
241: | Invert Color Yellow (Switch)
242: | Invert Brightness (Switch) [Legacy]
243: | Invert Brightness (Switch) [Rework]
244: | Simulation Color Blindness AIO (Switch)
245: | Simulation Of Achromatomaly (Switch)
246: | Simulation Of Achromatopsia (Switch)
247: | Simulation Of Deuteranomaly (Switch)
248: | Simulation Of Deuteranopia (Switch)
249: | Simulation Of Protanomaly (Switch)
250: | Simulation Of Protanopia (Switch)
251: | Simulation Of Tritanomaly (Switch)
252: | Simulation Of Tritanopia (Switch)
253: | CMYK Halftone Dot (Switch)
254: | Kuwahara Filter (Switch)
255: | Anime Zoom! Effect (Switch)
256: | Animeish (Switch) [Legacy]
257: | Mangaish (Switch)
258: | Genshin Shader 3.0 Skin (Switch)
259: | Better Bloom (Background)
260: | Vector Gradient Bloom (Switch)
261: | Noise Blur (Switch)
262: | Noise Blur Smooth (Background)
263: | Noise Blur Smooth (Texture)
264: | Vector Gradient Blur (Switch)
265: | ClearType (Switch)
266: | FXAA Fast Approximate Anti-Aliasing (Switch)
267: | Arithmetic Mean Filter (Switch)
268: | Geometric Mean Filter (Switch)
269: | Harmonic Mean Filter (Switch)
270: | Maximum Filter (Switch)
271: | Midpoint Filter (Switch)
272: | Minimum Filter (Switch)
273: | Range Filter (Switch)
274: | Codebook (Switch)
275: | Composite Video Compression (Background)
276: | Composite Video Compression (Texture)
277: | CRT (Switch)
278: | Hologram (Switch)
279: | JPEG Compression (Switch)
280: | LCD (Switch)
281: | TV Analog Noise (Switch)
282: | VHS (Background)
283: | VHS (Texture)
284: | Active (Texture)
285: | Emboss (Switch)
286: | Normal Map (Switch) [Direct3D]
287: | Normal Map (Switch)
288: | Sharpness (Switch)
289: | Bevel Smooth (Texture)
290: | Acorn RISCOS2n3 16-Color (Switch)
291: | Apple Macintosh II 16-Color (Switch)
292: | Apple Macintosh II 256-Color (Switch)
293: | Apple Macintosh II 4-Color (Switch)
294: | Atkinson Dithering 2-Color (Switch)
295: | BIOS (Switch)
296: | CGA 2-Color (Switch)
297: | CGA 4-Color_0 (Switch)
298: | CGA 4-Color_0LI (Switch)
299: | CGA 4-Color_1 (Switch)
300: | CGA 4-Color_1LI (Switch)
301: | CGA 4-Color_2 (Switch)
302: | CGA 4-Color_2LI (Switch)
303: | EGA 64-Color (Switch)
304: | PICO-8 16-Color (Switch)
305: | PICO-8 16-ColorHP (Switch)
306: | MS Paint (Switch)
307: | MS Windows 16-Color (Switch)
308: | MS Windows 20-Color (Switch)
309: | Game Boy 4-Color (Switch)
310: | Game Boy Light 4-Color (Switch)
311: | Game Boy Pocket 4-Color (Switch)
312: | Oracle Solaris 16-Color (Switch)
313: | VGA 256-Color (Switch)
314: | Aura (Background)
315: | Burn (Switch)
316: | Freeze (Switch)
317: | Frutiger Aero (Background)
318: | Klisza (Background)
319: | Segmented Liquid-Crystal Display (Switch)
320: | Spectrogram (Switch)
321: | Void (Background)
322: | Water Reflected (Background)
323: | CD-R (Background)
324: | CD-R Blu (Background)
325: | Colorful Grayout Foilage (Switch)
326: | CPU Foilage (Switch)
327: | Rainbow Foilage (Switch)
328: | RPB Foilage (Background)
329: | Deltarune Church Prophecy Panel (Texture)
330: | Deltarune Freeze (Texture)
331: | Deltarune Jevil Background Fight (Switch)
332: | Deltarune Vessel Background (Switch)
333: | Genshin Impact Natlan Outline (Background)
334: | Geometry Dash Glass Blocks (Background)
335: | Enchantment Glint (Switch)
336: | End Portal (Texture)
337: | PVZA Flower Cooldown (Texture)
338: | Alpha Fish (Texture)
339: | Liquid Glass (Background)
340: | Liquid Glass Blurry (Background)
341: | Windows Aero (Background)
342: | Windows Aero Clean (Background)
343: | Windows Aero Tinted (Background)
344: | Screen Space Reflection (Texture)
345: | Chromatic Aberration (Switch)
346: | Offset Color (Background)
347: | Reversed Offset Color (Background)
348: | Self Offset Color (Switch)
349: | Flip (Switch)
350: | Shear (Switch)
351: | Bend (Switch)
352: | Squeeze (Switch)
353: | Bulge (Switch)
354: | Fisheye Lens Equidistant (Switch)
355: | Fisheye Lens Equisolid Angle (Switch)
356: | Fisheye Lens Orthographic (Switch)
357: | Fisheye Lens Rectilinear (Switch)
358: | Fisheye Lens Stereographic (Switch)
359: | Polar (Switch)
360: | Pinch (Switch)
361: | Swirl (Switch)
362: | Mode 7 (Switch) [Antialiasing]
363: | Mode 7 (Switch) [Z-Buffer]
364: | Mode 7 (Switch)
365: | Polygon (Texture)
366: | Polygon Colored Solid (Texture)
367: | Polygon Blend Add (Background)
368: | Polygon Blend Div (Background)
369: | Polygon Blend Mul (Background)
370: | Polygon Blend Sub (Background)
371: | Polygon Colored Vertex Flat (Texture)
372: | Polygon Colored Vertex Flat Add (Texture)
373: | Polygon Colored Vertex Flat Div (Texture)
374: | Polygon Colored Vertex Flat Mul (Texture)
375: | Polygon Colored Vertex Flat Sub (Texture)
376: | Polygon Colored Vertex (Texture)
377: | Polygon Colored Vertex Add (Texture)
378: | Polygon Colored Vertex Div (Texture)
379: | Polygon Colored Vertex Mul (Texture)
380: | Polygon Colored Vertex Sub (Texture)
381: | Polygon Inverted Mask (Texture)
382: | Polygon Inverted Mask Overwrite (Texture)
383: | Polygon Mask (Texture)
384: | Polygon Mask Overwrite (Texture)
385: | Polygon Wireframe (Texture)
386: | Quad Fixed (Texture) [Antialiasing] [Legacy]
387: | Quad Fixed (Texture) [Antialiasing]
388: | Quad Fixed (Texture) [Legacy]
389: | Quad Fixed (Texture)
390: | Quad Colored Solid (Texture) [Legacy]
391: | Quad Colored Solid (Texture)
392: | Quad Inverted Mask (Texture) [Legacy]
393: | Quad Inverted Mask (Texture)
394: | Quad Mask (Texture) [Legacy]
395: | Quad Mask (Texture)
396: | Quad Colored Vertex (Texture) [Legacy]
397: | Quad Colored Vertex (Texture)
398: | Quad Colored Vertex Manhattan (Texture) [Legacy]
399: | Quad Colored Vertex Manhattan (Texture)
400: | Quad Test Without Border (Texture)
401: | Quad Wire-Frame (Texture)
402: | Quad With Glass Reflections (Background) [Legacy]
403: | Quad With Glass Reflections (Background)
404: | Quad With Metalic Reflections (Background) [Legacy]
405: | Quad With Metalic Reflections (Background)
406: | Quad With Reflections (Background) [Legacy]
407: | Quad With Reflections (Background)
408: | Quad Affine (Texture)
409: | Quad PSX (Texture)
410: | T7Sprite (Texture)
411: | Kaleidoscope (Switch)
412: | Foliage Wind (Switch)
413: | Liquid Wave Bending (Switch)
414: | Oscillation (Switch)
415: | Ripple Radial (Switch)
416: | Sinus Wave (Switch)
417: | Sinus Wave Offset (Switch)
418: | D3D8Test (Texture)
419: | Quad With Floor Reflection (Background)
420: | Unity Bloom (Background)
